1	1	♠	11
2	2	♠	2
3	3	♠	3
4	4	♠	4
5	5	♠	5
6	6	♠	6
7	7	♠	7
8	8	♠	8
9	9	♠	9
10	10	♠	10
11	11	♠	10
12	12	♠	10
13	13	♠	10
14	1	♥	11
15	2	♥	2
16	3	♥	3
17	4	♥	4
18	5	♥	5
19	6	♥	6
20	7	♥	7
21	8	♥	8
22	9	♥	9
23	10	♥	10
24	11	♥	10
25	12	♥	10
26	13	♥	10
27	1	♦	11
28	2	♦	2
29	3	♦	3
30	4	♦	4
31	5	♦	5
32	6	♦	6
33	7	♦	7
34	8	♦	8
35	9	♦	9
36	10	♦	10
37	11	♦	10
38	12	♦	10
39	13	♦	10
40	1	♣	11
41	2	♣	2
42	3	♣	3
43	4	♣	4
44	5	♣	5
45	6	♣	6
46	7	♣	7
47	8	♣	8
48	9	♣	9
49	10	♣	10
50	11	♣	10
51	12	♣	10
52	13	♣	10
53	1	♠	11
54	2	♠	2
55	3	♠	3
56	4	♠	4
57	5	♠	5
58	6	♠	6
59	7	♠	7
60	8	♠	8
61	9	♠	9
62	10	♠	10
63	11	♠	10
64	12	♠	10
65	13	♠	10
66	1	♥	11
67	2	♥	2
68	3	♥	3
69	4	♥	4
70	5	♥	5
71	6	♥	6
72	7	♥	7
73	8	♥	8
74	9	♥	9
75	10	♥	10
76	11	♥	10
77	12	♥	10
78	13	♥	10
79	1	♦	11
80	2	♦	2
81	3	♦	3
82	4	♦	4
83	5	♦	5
84	6	♦	6
85	7	♦	7
86	8	♦	8
87	9	♦	9
88	10	♦	10
89	11	♦	10
90	12	♦	10
91	13	♦	10
92	1	♣	11
93	2	♣	2
94	3	♣	3
95	4	♣	4
96	5	♣	5
97	6	♣	6
98	7	♣	7
99	8	♣	8
100	9	♣	9
101	10	♣	10
102	11	♣	10
103	12	♣	10
104	13	♣	10
105	0	*	25
106	0	*	25
